category,id,name,servingDescription,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,notes,icon
bases,cava.bases.brown-rice,Brown Rice,1 portion,310,7,48,10,5,2,770,,riceBrownBowl
bases,cava.bases.saffron-basmati,Saffron Basmati Rice,1 portion,290,5,54,7,2,1,770,,riceWhiteBowl
bases,cava.bases.black-lentils,Black Lentils,1 portion,270,18,37,7,15,3,520,,lentils
bases,cava.bases.super-greens,Super Greens,1 portion,35,3,6,0.5,4,2,35,Salad base,lettuce
bases,cava.bases.arugula,Arugula,1 portion,20,2,3,0.5,1,2,25,,lettuce
bases,cava.bases.baby-spinach,Baby Spinach,1 portion,20,3,3,0,2,0,70,,lettuce
bases,cava.bases.romaine,Romaine,1 portion,20,1,4,0,3,1,10,,lettuce
bases,cava.bases.power-greens,Power Greens,1 portion,30,2,4,0,2,1,35,,lettuce
dips,cava.dips.tzatziki,Tzatziki,1 portion,30,2,1,2.5,0,1,60,,yogurt
dips,cava.dips.hummus,Hummus,1 portion,50,2,4,2.5,2,0,90,,hummus
dips,cava.dips.roasted-eggplant,Roasted Eggplant,1 portion,50,0,2,5,1,0,160,,eggplant
dips,cava.dips.crazy-feta,Crazy Feta,1 portion,70,4,1,6,0,0,230,,cheeseSlice
dips,cava.dips.harissa,Harissa,1 portion,70,1,5,6,1,2,250,,chiliPeppersRed
dips,cava.dips.red-pepper-hummus,Red Pepper Hummus,1 portion,40,2,5,1.5,2,1,105,,hummus
mains,cava.mains.braised-lamb,Braised Lamb,1 portion,210,24,2,12,1,0,450,,meatballs
mains,cava.mains.grilled-chicken,Grilled Chicken,1 portion,250,28,3,13,1,0,670,,chickenGrilled
mains,cava.mains.falafel,Falafel,1 portion,350,6,24,26,5,3,810,Vegan,falafel
mains,cava.mains.grilled-steak,Grilled Steak,1 portion,170,23,1,9,0,0,280,,steakBoneIn
mains,cava.mains.harissa-honey-chicken,Harissa Honey Chicken,1 portion,260,26,7,14,2,3,670,,chicken
mains,cava.mains.roasted-vegetables,Roasted Vegetables,1 portion,100,3,14,4.5,5,5,600,Vegan,vegetables
mains,cava.mains.spicy-lamb-meatballs,Spicy Lamb Meatballs,1 portion,300,24,3,21,1,1,680,,meatballs
mains,cava.mains.glazed-salmon,Glazed Salmon,1 portion,320,23,5,23,0,5,630,,salmonFilet
toppings,cava.toppings.shredded-romaine,Shredded Romaine,1 portion,5,0,1,0,0,0,0,,lettuce
toppings,cava.toppings.pita-crisps,Pita Crisps,1 portion,70,1,6,11,0,0,25,,breadPita
toppings,cava.toppings.sumac-slaw,Sumac Slaw,1 portion,30,1,3,1.5,1,1,170,,cabbage
toppings,cava.toppings.tomato-onion,Tomato + Onion,1 portion,20,0,2,1.5,0,1,125,,tomato
toppings,cava.toppings.persian-cucumber,Persian Cucumber,1 portion,15,0,1,1,0,1,110,,cucumber
toppings,cava.toppings.tomato-cucumber,Tomato + Cucumber,1 portion,5,0,1,0,0,1,0,,tomato
toppings,cava.toppings.kalamata-olives,Kalamata Olives,1 portion,35,0,2,3,2,0,360,,oliveBlack
toppings,cava.toppings.fiery-broccoli,Fiery Broccoli,1 portion,35,1,2,2.5,1,1,170,,broccoli
toppings,cava.toppings.pickled-onions,Pickled Onions,1 portion,20,0,5,0,0,4,0,,onion
toppings,cava.toppings.salt-brined-pickles,Salt-Brined Pickles,1 portion,5,0,0,0,0,0,180,,cucumber
toppings,cava.toppings.crumbled-feta,Crumbled Feta,1 portion,35,3,0,2.5,0,1,125,,cheeseSlice
toppings,cava.toppings.fire-roasted-corn,Fire-Roasted Corn,1 portion,45,1,5,2.5,1,2,105,,corn
toppings,cava.toppings.avocado,Avocado,1 portion,110,1,6,10,4,0,0,,avocado
dressings,cava.dressings.balsamic-date,Balsamic Date Vinaigrette,1 portion,60,0,7,4,1,5,250,,oil
dressings,cava.dressings.yogurt-dill,Yogurt Dill,1 portion,30,2,1,2,0,0,190,,yogurt
dressings,cava.dressings.lemon-herb-tahini,Lemon Herb Tahini,1 portion,70,2,4,6,2,0,140,,oil
dressings,cava.dressings.strawberry-sesame,Strawberry Sesame,1 portion,60,1,3,5,1,2,130,,strawberry
dressings,cava.dressings.greek-vinaigrette,Greek Vinaigrette,1 portion,130,0,1,14,0,0,230,,oil
dressings,cava.dressings.skhug,Skhug,1 portion,80,0,1,9,0,0,150,Spicy,spicesGround
dressings,cava.dressings.hot-harissa-vinaigrette,Hot Harissa Vinaigrette,1 portion,70,0,1,7,0,1,270,Spicy,spicesGround
dressings,cava.dressings.garlic-dressing,Garlic Dressing,1 portion,180,0,0,20,0,0,90,,garlic
sides,cava.sides.whole-pita,Whole Pita,1 pita,320,13,54,6,6,3,700,,breadPita
sides,cava.sides.side-pita,Side Pita,1 pita,80,3,14,1.5,2,1,180,,breadPita
sides,cava.sides.pita-chips,Pita Chips,1 portion,280,10,41,8,5,2,630,,chipsBaked
sides,cava.sides.sumac-pita-chips,Sumac Sour Cream + Onion Pita Chips,1 portion,290,10,43,9,5,3,740,,chipsBakedSeasoned
sides,cava.sides.greyston-blondie,Greyston Chocolate Chip Blondie,1 piece,140,2,22,5,0,16,10,,cakeSquareChocolate
sides,cava.sides.greyston-brownie,Greyston Brownie,1 piece,150,2,17,9,1,13,10,,cakeSquareChocolate
sides,cava.sides.whisked-apricot-honey,Whisked! Apricot Honey,1 piece,220,3,34,9,1,19,150,DMV regional,biscotti
sides,cava.sides.whisked-dark-chocolate,Whisked! Salted Dark Chocolate Oat Cookie,1 piece,240,4,31,13,3,17,115,,biscotti
